normal,latter-only,former-only,exclude_particle,exclude_negation,exclude_mo,exclude_koso,exclude_iru_aru_oku,exclude_ha_and_ga,exclude_function_words,exclude_content_words,exclude_connectives,convert_content_words_to_dummy,convert_connectives_to_dummy,convert_all_words_to_dummy,id,前件,接続表現,後件
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,204_aozora_Doyle-1905,レストレイドは、この注目すべき解説を聞き,ながら,、2、3度、眉を釣りあげたが、ここでようやく口を開いた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,205_aozora_Edogawa-1929,頂上には、十人余りの見物が一かたまりになっておっかな相な顔をして、ボソボソ小声で囁き,ながら,、品川の海の方を眺めて居りましたが、兄はと見ると、それとは離れた場所に、一人ぼっちで、遠眼鏡を目に当てて、しきりと浅草の境内を眺め廻して居りました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,205_aozora_Kobayashi-1929,艦長をのせてしまって、一人がタラップのおどり場からロープを外し,ながら,、ちらっと艦長の方を見て、低い声で云った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,206_whitepaper_H28_kotsuanzen1,ウ道路の機能と沿道の土地利用を含めた道路の利用実態との調和を図ることが交通の安全の確保に資することから，交通流の実態を踏まえ,つつ,，沿道からのアクセスを考慮した副道等の整備，植樹帯の設置，路上駐停車対策等を推進した。
True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,20_aozora_Hori-1969,それがどんなものか分らない,ながら,、どうやらそれらしいと感ぜられるものがある。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,215_whitepaper_H28_kotsuanzen1,社会資本整備重点計画に即して，都道府県公安委員会及び道路管理者が連携し，交通事故実態の調査・分析を行い,つつ,，重点的，効果的かつ効率的に歩道や信号機の整備を始めとした交通安全施設等整備事業を推進することにより，道路交通環境を改善し，交通事故の防止と交通の円滑化を図った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,218_aozora_Hayashida-2015,「ええ、そうです」と微笑み,ながら,答えた。
False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,21_essay_tosanikki_20160903,やがて月の距離が現在の約１．５倍、公転・自転の周期が約４０日になった,ところ,で変化が止まると考えられています。
True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,21_essay_tosanikki_20180804,その間、何度も地球に接近し、ニアミスを繰り返し,ながら,、長い旅路の果てについに地球（南極大陸）にたどり着いたのです。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,220_aozora_Oda-1976-3,人々は彼等の傍を通り抜け,ながら,、ふと優越的な気持が同情に先立つらしく、さげすみの眼をちらと投げて行ったが、北山の眼はそんな旅行者が羨ましい眼付だった。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,224_aozora_Akutagawa-1921,が、忽ち勇気をとり直すと、片手にナイフを握り,ながら,、片手に妙子の襟髪を掴んで、ずるずる手もとへ引き寄せました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,225_fiction_automatic-1,それを漠然と思い出し,ながら,、朝田ハルキは声を張り上げた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,229_whitepaper_H28_shinrinringyo1,近年においては、プログラマーやデザイナーがチームを組み、特定のテーマに対してアイデアを出し合い,ながら,集中的にアプリケーションやサービスを形成していき、その内容を競うイベントであるハッカソンについて、近年、林業の技術開発をテーマとして開催される機会もみられる（事例I－６）。
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,22_aozora_Kunieda-1925,おりから一人の老人がひしと胸の辺を抱き,ながら,追われたように走って来た。
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,22_essay_tosanikki_20190202,私の目には、晩年をオリオン座で過ごそうと旅してきたように見えますが、もしさらに１００万年長生きしたとすると、オリオン座を通り過ぎた,ところ,で漂泊の人生を終わることになります。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22_essay_tosanikki_20191102,ピーブルズ氏の受賞の報を聞き,ながら,、ふとそんなことを考えたのでした。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,236_aozora_Akutagawa-1921,遠藤は殆ど気違いのように、妙子の名前を呼びかけ,ながら,、全身の力を肩に集めて、何度も入口の戸へぶつかりました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,237_fiction_mirai_e_no_okurimono,――途中、走り,ながら,モバイルフォンを素早く鞄から取り出した。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23_essay_tosanikki_20180707,もし探査ロボットに心があれば、青く美しく輝く地球を眺め,ながら,何を考えるでしょうか。
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,252_aozora_Oda-1976-3,なぜつけた――と、北山は昂奮に吃り,ながら,、狂暴な力でカラ子の肩を掴んでいた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,256_aozora_Miyazawa-1934,するとかよは立って来て、「兄な、兄なの木ペンはきのう小屋でなくしてしまったけなあ。よこせったら。」と言い,ながら,一生けん命とり返そうとしましたが、どうしてももう佐太郎は机にくっついた大きな蟹の化石みたいになっているので、とうとうかよは立ったまま口を大きくまげて泣きだしそうになりました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,259_aozora_Hori-1969,が、そうしていつまでもうつけたように、かすかに揺れ動いている梢を見上げていると、いきなり私の眼の前に、蜘蛛が長く糸をひき,ながら,落ちてきて、私をびっくりさせたりした。
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,25_whitepaper_H27_akita_kankyo1,新たな計画では、「省エネルギー対策」と「再生可能エネルギー等の導入」を２本柱とし,ながら,、「循環型社会の形成（廃棄物の抑制等）」や「環境価値の創出とカーボンオフセットの普及」など、８つの分野において総合的に対策を進めることとしています。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,25_whitepaper_R1_gaiko_10,人道支援と開発協力の連携を強化し,つつ,、平和構築、難民等の支援、テロ・暴力的過激主義対策等の協力を通じ、国際社会の平和と安定の実現に積極的に貢献する。
True,False,True,True,False,False,True,False,False,True,True,False,True,True,False,26_aozora_Oda-1976-3,だから、Ｄ堂の主人にからかわれ,ながら,、いつまでも待っていた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,276_fiction_mirai_e_no_okurimono,俊也は彼女の名を叫び,ながら,、警備員の目の前を通過しようとした。
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,276_whitepaper_shohi3_2018,第３期消費者基本計画では、消費者一人一人が、個々の消費者の特性や消費生活の多様性を相互に尊重し,つつ,、自らの消費行動が将来の社会経済情勢や地球環境に影響を及ぼすことを自覚し、公正で持続可能な社会の形成に積極的に参画する社会を目指すことが求められています。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,278_whitepaper_R1_gaiko_2,安定的に党・政権を運営するためには、一定の経済成長を確保し,つつ,国内外の各種課題に対応する必要があり、今後の経済財政政策の動向が注目される。
True,True,False,True,True,True,True,False,True,True,False,False,False,True,False,27_aozora_Chiri-1956-2,アイヌ語の研究などは、世に顧みられない淋しい道なのでありますが、同じくこのアイヌ語研究の部門に属し,ながら,多くの研究家とファンを抱えて、いつも賑やかに店先の繁昌しているのが、この地名研究の部門であります。
False,False,True,True,False,True,False,False,False,True,False,True,False,True,True,27_news_KAHOKU_184;K201406140A0T10XX00001,東北大大学院工学研究科の風間基樹教授（地盤工学・地震工学）は「行政が作る防災マップを参考にし,つつ,も、普段から地域の地形的特性を把握して、非常時の対策を考える必要がある」と指摘する。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,29_news_KAHOKU_513,各地の伝説を受け止め,つつ,、大嶽丸の姿を見つめ直そうと南方の住民ら約２０人が集まった。
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,301_aozora_Doyle-1892,学があり,ながら,運命の手に翻弄されてきた男、という印象を全体から感じる。
True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,309_aozora_Hori-1969,その間私は何か切ないような夢を見,ながら,、それから醒めたいのだが、いつまでもそれが続いていて醒められないような気さえしていた。
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,310_essay_Hepburn_no_shoogai_to_nihongo2,ミッションスクールを作り、孤児院や養老院のような社会活動に心血を注ぎ、活躍する者たちを頼もしく眺め,ながら,、ヘボンは体の故障に悲鳴をあげていた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,312_aozora_Hori-1969,……その車が又埃を上げながら立ち去った後も、私たちは二人ともパラソルでその埃を避け,ながら,、何時までも黙って草の中に立っていた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,312_whitepaper_H28_kotsuanzen1,ア地域住民等の意見要望等を十分に踏まえ,つつ,，駐車規制の点検・見直しを実施するとともに，物流の必要性や自動二輪車の駐車需要等にも配慮し，地域の交通実態等に応じた規制の緩和を行うなど，きめ細かな駐車規制を推進した。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,315_whitepaper_R1_gaiko_9,このような状況の下、核軍縮を進めていくためには、核兵器国の協力を得,ながら,現実的かつ実践的な取組を粘り強く進めていく必要がある。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,319_fiction_sakurasakuanobashode,朝御飯が終わり、かたづけを手伝い,ながら,修一は言った。
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31_whitepaper_R1_gaiko_9,"さらに、普天間飛行場の移設や在沖縄海兵隊約9,000人のグアム等への国外移転を始めとする在日米軍再編についても、在日米軍の抑止力を維持し",つつ,、沖縄を始めとする地元の負担を軽減するため、日米で緊密に連携して取り組んできている。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,330_whitepaper_H28_shinrinringyo1,このような不安を払拭していくためには、実証試験で得られた結果等に基づいた知見を有する行政機関、国立研究開発法人森林総合研究所や都道府県の林業試験場等の研究機関、業界団体が連携し,ながら,林業事業体等に対する普及指導に取り組んでいく必要がある。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,34_aozora_Togawa-1937-3,和尚は御経を読み,ながら,、そこにただ独り坐っていた。
True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,352_aozora_Sakaguchi-1947,リヤカーは路地の角々にぶつかり,ながら,立去った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,357_whitepaper_H28_kotsuanzen1,児童が遊び,ながら,交通知識等を体得できるような各種の施設を設置した交通公園は，全国で開設されており，一般の利用に供されている。
True,True,False,False,True,True,True,False,False,False,False,True,False,True,False,35_aozora_Hisao-1939,なかなか、二人の娘のひきたて役ぐらいの,ところ,ではなかろうとおもわれる。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,366_whitepaper_H28_shinrinringyo2,松くい虫被害の拡大を防止するため、林野庁では都府県と連携し,ながら,、公益的機能の高いマツ林等を対象として、薬剤散布や樹幹注入等の予防対策と被害木の伐倒くん蒸等の駆除対策を併せて実施している。
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,368_aozora_Hori-1969,少なくともこのときお前はお前自身のことよりか私のことを、――それから私が打ちのめされながらじっとそれを耐えている、見るにも見かねるような様子を半ば気づかい,ながら,、半ば苦々しく思いながら一人で想像していたろうことは考えられる。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,370_fiction_sakurasakuanobashode,そう言い,ながら,、大家さんは立ち上がる。
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,370_textbook_djg_advanced;page_426,外国に居,ながら,にして日本からの生のテレビ放送が見られるようになった。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,375_aozora_Miyazawa-1934,悦治がそれをくぐろうとしますと、嘉助が、「おらこったなものはずせだぞ。」と言い,ながら,片っぽうのはじをぬいて下におろしましたのでみんなはそれをはね越えて中にはいりました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,382_fiction_sakurasakuanobashode,修一はその声を聞き,ながら,部屋を出た。
True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,386_aozora_Hori-1969,私の好んで行った山よりの落葉松林は、ときおり林の切れ目から薄赤い穂を出した芒の向うに浅間の鮮やかな山肌をのぞかせ,ながら,、何処までも真直に続いていた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,389_whitepaper_R1_gaiko_11,2018年4月に開催された日本での会議は、日本政府、経済団体、関連企業等多方面から支援を得,ながら,11年ぶりに東京で開催され、200人以上の方々が出席しました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,38_aozora_Kaneko-1984,そうしたとき母は従順に父の衣類を壁の釘にかけたりなんかしていたが、袂の中からお菓子の空袋や蜜柑の皮などを取出して、恨めしそうに眺め,ながら,いうのだった。
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3_fiction_mirai_e_no_okurimono,21世紀に発明されたAIが第5世代に入り、人は生まれ,ながら,にして脳にチップを埋められた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,403_fiction_sakurasakuanobashode,修一は春の桜の匂いが混じった風を感じ,ながら,つぶやいた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,426_aozora_Oda-1976-3,眼の中のコロコロとした痛みを我慢し,ながら,、一方で女の手の触感をたのしむなんて、思えばわれながら噴き出したくなるようなものだったが、もともと気のすすまぬ旅行だ、それぐらいはしてもいいだろうと、春隆は思ったのである。
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,448_aozora_Oda-1976-3,「さんざん見せつけたのじゃないの。おごる代りに資本を出しなさいよ。ね。気を利かせっぱなしじゃ、合わないわよ」という科白を用意し,ながら,、露子はわざわざ貴子と春隆を二人並ばせて、自分は別の座席へ遠慮したのである。
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,44_aozora_Koyama-1955-2,はじめてその人の前に出て二、三の受け答えをし,つつ,、この人に看てもらうのだなという感じを持った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,44_whitepaper_R1_gaiko_10,日本は責任ある大国として、引き続き国際協力事業関係者の安全を確保し,ながら,、国際社会の平和と安定及び繁栄に積極的に貢献していく。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,45_aozora_Perrault-1950,いけないというものは、とかく見たいのが、人間のくせですから、そのうちいよいよ、がまんがしきれなくなってくると、この奥（おく）がたは、もうお客にたいして、失礼（しつれい）のなんのということを、おもってはいられなくなって、ひとりそっと裏（うら）ばしごをおりて、二ども三ども、首の骨がおれたかとおもうほど、はげしく、柱や梁（はり）にぶつかり,ながら,、むちゅうでかけ出して行きました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,46_diet_kaigiroku-11,かかる観点から、第一次石油危機から二十年を経た今日、エネルギー政策全般の再構築を図り、地球環境問題の顕在化に対応し,つつ,、エネルギーの安定的かつ効率的な供給の確保に努めてまいります。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,46_fiction_automatic-1,背中を丸め,ながら,、裏通りを当てもなく前方に進み続けた。
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,476_fiction_munashisanoshotai,1人で帰り,ながら,そのことに気づいてしまった。
True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,479_textbook_djg_intermediate;page_543,彼女は夫の無罪を信じ,つつ,息を引き取った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,480_textbook_djg_intermediate;page_543,たばこは体によくないと分かり,つつ,なかなかやめられない。
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,499_bible_ot;b.NUM.14.23,わたしの栄光と、わたしがエジプトと荒野で行ったしるしを見,ながら,、このように十度もわたしを試みて、わたしの声に聞きしたがわなかった人々はひとりも、わたしがかつて彼らの先祖たちに与えると誓った地を見ないであろう。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,49_aozora_Chiri-1955-7,最初にこのぼろの着物を身につけた東風の神が、舞い,ながら,祭場に出て来ます。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,501_aozora_Hori-1969,私は思わず生き生きした微笑をし,ながら,黙っていた。
True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,507_aozora_Hori-1969,私はちょっと意外な問いに戸惑いし,ながら,、お前の方へ徐かに目をもっていった。
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,507_aozora_Koyama-1955-1,仔どもがそろって互いにもぐりっこをし,ながら,、メリーの乳房にとりついているところは、なんとも云えず可愛い。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,508_aozora_Andersen-1967-2,まだ、お日さまののぼらないころ、人魚のお姫さまは、王子のお城を見あげ,ながら,、りっぱな大理石の階段の上にのぼりました。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,516_essay_Hepburn_no_shoogai_to_nihongo2,Ｗ・Ｅ・グリフィスは、任期満了で帰国して以来、「Hepburn_of_Japan」を執筆し,つつ,、ニューヨークやフィラデルフィアから、ヘボンにも、その弟スレーターにも、質問を寄せ続け、しきりに「ヘボンをめぐる人々」と文通していた。
True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,51_fiction_kemonofriends2_R2,キュルルは今更,ながら,思い出すのだった。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,528_aozora_Oda-1976-3,章三はその女の顔をじっと見つめ,ながら,、そう思った。
False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,53_essay_Hepburn_no_shoogai_to_nihongo2,幕府は安政年間、条約国に対して「既に踏絵の制度は廃せり」と声明を出していたが、ヘボンが肥後出身者から聞いた,ところ,では、その後も九州で実施されていた。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,545_whitepaper_H26_kodomowakamono2,第1回の懇談会には，安倍総理大臣が出席し，壁にぶつかった経験がある若者などをしっかり生かしていく，全員が参加することによって日本は活力を取り戻していくことができること，「再チャレンジ懇談会」での意見を踏まえ,ながら,関連施策の推進に努めていきたい旨の発言がなされた。
True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,549_aozora_Hori-1969,心と心とはいつか自分自分の奥深くに引込ませてしまい,ながら,……
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,54_news_KAHOKU_82;K201402060A0T10XX00001,多賀城市は、市域の３分の１が津波で浸水し,ながら,も現地再建を決断した。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,551_aozora_Umezaki-1966,ふらふら立ち,ながら,、雨戸をあけ放った。
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,568_aozora_Umezaki-1966,私は不味い莨をふかし,ながら,、煙が空気の中に消えて行くのをじっと見ていた。
