"id","input_text","true_label","true_label_text","predicted_label","predicted_label_text"
"46_diet_kaigiroku-11","かかる観点から、第一次石油危機から二十年を経た今日、エネルギー政策全般の再構築を図り、地球環境問題の顕在化に対応しつつ、エネルギーの安定的かつ効率的な供給の確保に努めてまいります。","1","同時進行","1","同時進行"
"115_whitepaper_shohi4_2018","また、国民生活センターでは、人の生命・身体等に重大な影響を及ぼす商品や品質・表示等に問題のある商品について、消費者被害の救済や未然防止・拡大防止のために、消費者の使用実態を考慮しつつ科学的に信頼性の高い商品テストを実施しています。","1","同時進行","1","同時進行"
"5_law_h15A119;4_1_1","この法律は、高度情報通信社会の進展に伴い個人情報の利用が著しく拡大していることにかんがみ、個人情報の適正な取扱いに関し、基本理念及び政府による基本方針の作成その他の個人情報の保護に関する施策の基本となる事項を定め、国及び地方公共団体の責務等を明らかにするとともに、個人情報を取り扱う事業者の遵守すべき義務等を定めることにより、個人情報の有用性に配慮しつつ、個人の権利利益を保護することを目的とする。","0","逆接・譲歩","1","同時進行"
"215_whitepaper_H28_kotsuanzen1","社会資本整備重点計画に即して，都道府県公安委員会及び道路管理者が連携し，交通事故実態の調査・分析を行いつつ，重点的，効果的かつ効率的に歩道や信号機の整備を始めとした交通安全施設等整備事業を推進することにより，道路交通環境を改善し，交通事故の防止と交通の円滑化を図った。","1","同時進行","1","同時進行"
"29_news_KAHOKU_513","各地の伝説を受け止めつつ、大嶽丸の姿を見つめ直そうと南方の住民ら約２０人が集まった。","1","同時進行","1","同時進行"
"31_whitepaper_R1_gaiko_9","さらに、普天間飛行場の移設や在沖縄海兵隊約9,000人のグアム等への国外移転を始めとする在日米軍再編についても、在日米軍の抑止力を維持しつつ、沖縄を始めとする地元の負担を軽減するため、日米で緊密に連携して取り組んできている。","0","逆接・譲歩","1","同時進行"
"206_whitepaper_H28_kotsuanzen1","ウ道路の機能と沿道の土地利用を含めた道路の利用実態との調和を図ることが交通の安全の確保に資することから，交通流の実態を踏まえつつ，沿道からのアクセスを考慮した副道等の整備，植樹帯の設置，路上駐停車対策等を推進した。","1","同時進行","1","同時進行"
"276_whitepaper_shohi3_2018","第３期消費者基本計画では、消費者一人一人が、個々の消費者の特性や消費生活の多様性を相互に尊重しつつ、自らの消費行動が将来の社会経済情勢や地球環境に影響を及ぼすことを自覚し、公正で持続可能な社会の形成に積極的に参画する社会を目指すことが求められています。","0","逆接・譲歩","1","同時進行"
"19_essay_manabi72_Kuroda2015summer","従って、イスラームの理念性を念頭に置きつつも、ムスリムたちの歴史は大いに可変的で、事実、時代時代で否定しがたい変容をこうむってきたことに注目すべきだと思います。","0","逆接・譲歩","0","逆接・譲歩"
"44_aozora_Koyama-1955-2","はじめてその人の前に出て二、三の受け答えをしつつ、この人に看てもらうのだなという感じを持った。","1","同時進行","1","同時進行"
"25_whitepaper_R1_gaiko_10","人道支援と開発協力の連携を強化しつつ、平和構築、難民等の支援、テロ・暴力的過激主義対策等の協力を通じ、国際社会の平和と安定の実現に積極的に貢献する。","1","同時進行","1","同時進行"
"479_textbook_djg_intermediate;page_543","彼女は夫の無罪を信じつつ息を引き取った。","1","同時進行","0","逆接・譲歩"
"6_book_excerpt-26","やれやれどうしよう、と思いながらも居心地の良いバラナシを去る気にもなれず、汽車の切符を買う大変さを考えてはやはり腰が上がらず、あと二、三日と思いつつずるずると居着いてしまっていたのだ。","0","逆接・譲歩","1","同時進行"
"516_essay_Hepburn_no_shoogai_to_nihongo2","Ｗ・Ｅ・グリフィスは、任期満了で帰国して以来、「Hepburn_of_Japan」を執筆しつつ、ニューヨークやフィラデルフィアから、ヘボンにも、その弟スレーターにも、質問を寄せ続け、しきりに「ヘボンをめぐる人々」と文通していた。","1","同時進行","1","同時進行"
"90_fiction_sakurasakuanobashode","修一は、出来るだけ元気な声を出しながら玄関に入った。","1","同時進行","1","同時進行"
"507_aozora_Hori-1969","私はちょっと意外な問いに戸惑いしながら、お前の方へ徐かに目をもっていった。","1","同時進行","1","同時進行"
"224_aozora_Akutagawa-1921","が、忽ち勇気をとり直すと、片手にナイフを握りながら、片手に妙子の襟髪を掴んで、ずるずる手もとへ引き寄せました。","1","同時進行","1","同時進行"
"121_aozora_Akutagawa-1921","遠藤はとうとうたまり兼ねて、火花の旋風に追われながら、転げるように外へ逃げ出しました。","1","同時進行","1","同時進行"
"91_aozora_Andersen-1967-1","「いいかい、世の中って、こんなものなんだよ」と、アヒルの子供たちのおかあさんは、言いながら、自分も、くちばしをピチャピチャやりました。","1","同時進行","1","同時進行"
"762_aozora_Oda-1976-3","そして、おなかの子に障ることを忘れて、傘も持たず、びしょ濡れの体をなお雨の鞭に任せながら、うらぶれて歩いているそんな芳子の姿を、グッドモーニングの銀ちゃんは人力車の上から見た途端、はっと胸を突かれて、同じ人力車に相乗りしている坂野の手前がもしなかったとすれば、呼びとめたい程のなつかしさにしびれ、もはや芳子のあわれさは、芳子が持っているどんな女のいやらしさも、銀ちゃんの心から消してしまっていた。","1","同時進行","1","同時進行"
"767_whitepaper_R1_gaiko_2","11月の日・ASEAN首脳会議では、安倍総理大臣から、2013年に約束した「5年で2兆円の対ASEAN支援」を上回る支援を実施したことに言及しつつ、今後もASEANの一体性と中心性を尊重しながら、民間投資を後押しし、国際スタンダードにのっとった質の高いインフラを推進すると発言した。","1","同時進行","1","同時進行"
"68_aozora_Kobayashi-1929","その横に仰向けにひっくり返って、林檎を食いながら、表紙のボロボロした講談雑誌を見ているのがいた。","1","同時進行","1","同時進行"
"150_aozora_Oda-1976-3","「芳ッちゃん、芳ッちゃんって、お安くいわないでよ」と、いわれながら、京吉はしかし、ねえ、たのむよ、と、だんだん甘えるような哀願的な声になっていた。","0","逆接・譲歩","0","逆接・譲歩"
"750_aozora_Oda-1976-1","そして男を利用しながら、男を敵と考えて来た。","0","逆接・譲歩","1","同時進行"
"38_aozora_Kaneko-1984","そうしたとき母は従順に父の衣類を壁の釘にかけたりなんかしていたが、袂の中からお菓子の空袋や蜜柑の皮などを取出して、恨めしそうに眺めながらいうのだった。","1","同時進行","1","同時進行"
"403_fiction_sakurasakuanobashode","修一は春の桜の匂いが混じった風を感じながらつぶやいた。","1","同時進行","1","同時進行"
"77_aozora_Akutagawa-1922","トロッコは三人が乗り移ると同時に、蜜柑畑の匂（におい）を煽（あお）りながら、ひた辷（すべ）りに線路を走り出した。","1","同時進行","1","同時進行"
"180_aozora_Yamakawa-1962-1","遠くなったその葬列との距離を縮めようというのか、子供たちは芋畑の中におどりこむと、歓声をあげながら駈けはじめた。","1","同時進行","1","同時進行"
"357_whitepaper_H28_kotsuanzen1","児童が遊びながら交通知識等を体得できるような各種の施設を設置した交通公園は，全国で開設されており，一般の利用に供されている。","1","同時進行","1","同時進行"
"66_whitepaper_H28_shinrinringyo2","これらの計画では、「全国森林計画」に即しつつ、地域の特性を踏まえながら、森林の整備及び保全の目標並びに森林の区域（ゾーニング）及び伐採等の施業方法の考え方を提示している。","1","同時進行","1","同時進行"
"370_textbook_djg_advanced;page_426","外国に居ながらにして日本からの生のテレビ放送が見られるようになった。","4","その他","0","逆接・譲歩"
"112_aozora_Kaneko-1984","叔母はそのうちの一つの櫛を取って見まわしながらいった。","1","同時進行","1","同時進行"
"184_aozora_Miyazawa-1934","一郎が箒をもちながら先生にききました。","1","同時進行","1","同時進行"
"507_aozora_Koyama-1955-1","仔どもがそろって互いにもぐりっこをしながら、メリーの乳房にとりついているところは、なんとも云えず可愛い。","1","同時進行","1","同時進行"
"7_essay_tosanikki_20190406","私たちは地球の自転・公転運動によってらせんを描きながら太陽のまわりを疾走していることになります。","1","同時進行","1","同時進行"
"276_fiction_mirai_e_no_okurimono","俊也は彼女の名を叫びながら、警備員の目の前を通過しようとした。","1","同時進行","1","同時進行"
"26_aozora_Oda-1976-3","だから、Ｄ堂の主人にからかわれながら、いつまでも待っていた。","0","逆接・譲歩","0","逆接・譲歩"
"99_fiction_kanojotachino_Christmas","父が僅《わずか》かながら生活費を送ってくれた。","4","その他","4","その他"
"368_aozora_Hori-1969","少なくともこのときお前はお前自身のことよりか私のことを、――それから私が打ちのめされながらじっとそれを耐えている、見るにも見かねるような様子を半ば気づかいながら、半ば苦々しく思いながら一人で想像していたろうことは考えられる。","1","同時進行","0","逆接・譲歩"
"389_whitepaper_R1_gaiko_11","2018年4月に開催された日本での会議は、日本政府、経済団体、関連企業等多方面から支援を得ながら11年ぶりに東京で開催され、200人以上の方々が出席しました。","1","同時進行","1","同時進行"
"616_aozora_Natsume-1908","豚はぐうと云いながら、ころりと引っ繰り返って、絶壁の下へ落ちて行った。","1","同時進行","1","同時進行"
"798_aozora_Oda-1976-2","電話が掛かることを承知していながら、わざと「女の子」と出てしまうなんて、ばかにされたような気がした。","0","逆接・譲歩","0","逆接・譲歩"
"826_fiction_onna_to_senso","生きのびた人々は飢えに苦しんで草をたべ、馬の足跡にたまった泥水をのみ、やぶ蚊や虱に悩まされ、襲撃につぐ襲撃におびえながら終戦を知らずに逃避行を続けた。","1","同時進行","1","同時進行"
"11_aozora_Hayakawa-1983","登ることに決めてありながら寝坊をした惰性が、そのまま動作を鈍くしていた。","0","逆接・譲歩","0","逆接・譲歩"
"773_fiction_onna_to_senso","石光真清の記録『昿野の花』などによると、彼女たちは故国から棄てられた形で暮らしながら日本の軍事探偵に協力し、彼女たちのもたらした情報は日露戦争に役立ったといわれる。","0","逆接・譲歩","0","逆接・譲歩"
"225_fiction_automatic-1","それを漠然と思い出しながら、朝田ハルキは声を張り上げた。","1","同時進行","1","同時進行"
"448_aozora_Oda-1976-3","「さんざん見せつけたのじゃないの。おごる代りに資本を出しなさいよ。ね。気を利かせっぱなしじゃ、合わないわよ」という科白を用意しながら、露子はわざわざ貴子と春隆を二人並ばせて、自分は別の座席へ遠慮したのである。","0","逆接・譲歩","1","同時進行"
"1117_aozora_Harada-1960","ドアの鍵を廻しながら、「とうとうこれで！」と、妹は叫んだ。","1","同時進行","1","同時進行"
"595_aozora_Hori-1969","私はそう心のなかで、思わず母に呼びかけては、何遍もその手帳を中途で手放そうと思いながら、やっぱり最後まで読んでしまった。","0","逆接・譲歩","1","同時進行"
"15_wikipedia_Sendai_City","当地は、畿内に端を発する山道（後に東山道に再編）と海道（後に東海道に再編）とが合一する唯一の地であり、その合一した街道は後年、奥大道や東街道と名称を変えながらも同断層帯およびそれに続く高舘丘陵の東縁に沿って南北に通る重要な道として存在し続けた。","0","逆接・譲歩","0","逆接・譲歩"
"758_aozora_Miyazawa-1934","「おれそれであ、あの木の上がら落とすがらな。」と一郎は言いながら崖の中ごろから出ているさいかちの木へするするのぼって行きました。","1","同時進行","1","同時進行"
"205_aozora_Edogawa-1929","頂上には、十人余りの見物が一かたまりになっておっかな相な顔をして、ボソボソ小声で囁きながら、品川の海の方を眺めて居りましたが、兄はと見ると、それとは離れた場所に、一人ぼっちで、遠眼鏡を目に当てて、しきりと浅草の境内を眺め廻して居りました。","1","同時進行","1","同時進行"
"51_fiction_kemonofriends2_R2","キュルルは今更ながら思い出すのだった。","4","その他","4","その他"
"785_textbook_purple_intermediate;page_237","時々、後ろを振り返りながら、歩いた。","1","同時進行","1","同時進行"
"23_essay_tosanikki_20180707","もし探査ロボットに心があれば、青く美しく輝く地球を眺めながら何を考えるでしょうか。","1","同時進行","1","同時進行"
"205_aozora_Kobayashi-1929","艦長をのせてしまって、一人がタラップのおどり場からロープを外しながら、ちらっと艦長の方を見て、低い声で云った。","1","同時進行","1","同時進行"
"312_aozora_Hori-1969","……その車が又埃を上げながら立ち去った後も、私たちは二人ともパラソルでその埃を避けながら、何時までも黙って草の中に立っていた。","1","同時進行","1","同時進行"
"54_news_KAHOKU_82;K201402060A0T10XX00001","多賀城市は、市域の３分の１が津波で浸水しながらも現地再建を決断した。","0","逆接・譲歩","0","逆接・譲歩"
"873_textbook_kisonihongo;page_159","働きながらの勉学は困難を極めた。","1","同時進行","1","同時進行"
"89_news_KAHOKU_34;K201404110A0T30XX00001","窓の外を白いものがうねりながら、通り過ぎました。","1","同時進行","1","同時進行"
"22_essay_tosanikki_20191102","ピーブルズ氏の受賞の報を聞きながら、ふとそんなことを考えたのでした。","1","同時進行","1","同時進行"
"252_aozora_Oda-1976-3","なぜつけた――と、北山は昂奮に吃りながら、狂暴な力でカラ子の肩を掴んでいた。","1","同時進行","1","同時進行"
"310_essay_Hepburn_no_shoogai_to_nihongo2","ミッションスクールを作り、孤児院や養老院のような社会活動に心血を注ぎ、活躍する者たちを頼もしく眺めながら、ヘボンは体の故障に悲鳴をあげていた。","0","逆接・譲歩","1","同時進行"
"545_whitepaper_H26_kodomowakamono2","第1回の懇談会には，安倍総理大臣が出席し，壁にぶつかった経験がある若者などをしっかり生かしていく，全員が参加することによって日本は活力を取り戻していくことができること，「再チャレンジ懇談会」での意見を踏まえながら関連施策の推進に努めていきたい旨の発言がなされた。","1","同時進行","1","同時進行"
"309_aozora_Hori-1969","その間私は何か切ないような夢を見ながら、それから醒めたいのだが、いつまでもそれが続いていて醒められないような気さえしていた。","1","同時進行","1","同時進行"
"382_fiction_sakurasakuanobashode","修一はその声を聞きながら部屋を出た。","1","同時進行","1","同時進行"
"834_aozora_Umezaki-1966","香のにおいを強く感じながら眼をつむって手を合せた。","1","同時進行","1","同時進行"
"549_aozora_Hori-1969","心と心とはいつか自分自分の奥深くに引込ませてしまいながら……","4","その他","0","逆接・譲歩"
"100_aozora_Mori-1912","主人はどっしりした体で、胡坐を掻いて、ちびりちびり酒を飲みながら、小川の表情を、睫毛の動くのをも見遁がさないように見ている。","1","同時進行","1","同時進行"
"6_essay_manabi28_Kijima2004summer","私たちの身近にありながらあまり研究されていない動物なのです。","0","逆接・譲歩","0","逆接・譲歩"
"551_aozora_Umezaki-1966","ふらふら立ちながら、雨戸をあけ放った。","1","同時進行","1","同時進行"
"127_fiction_mirai_e_no_okurimono","書架をぐるっと見渡しながら、カフェコーナーに立ち寄った。","1","同時進行","1","同時進行"
"860_whitepaper_H27_akita_kankyo1","なお、一般廃棄物の保管や収集運搬、処分に係る行政処分は市町村の権限となっていますが、県でも協力・連携しながら適正処理の確保に努めています。","1","同時進行","1","同時進行"
"11_aozora_Hitomi-1929","しかし原稿の出来上って行くにつれてもうわたしはさっきまでのような元気も、若々しさもなくなってグラウンドのトラックを疾走しながら世界記録を破るなんてことの出来ない人間になるのみではなかろうか、外国の競技場で邦人の歓呼をうけることももう出来なくなるんだと競技場に活躍する自分の姿を自分の目に浮かばせるのであった。","1","同時進行","1","同時進行"
"599_aozora_Hori-1969","ただそのときの丸木の腰かけだけが半ば毀れながらまだ元の場所に残っていた。","0","逆接・譲歩","1","同時進行"
"148_whitepaper_H28_kotsuanzen1","地域の協力を得ながら，通学路，生活道路，市街地の幹線道路等において，歩道を整備するなど，「人」の視点に立った交通安全対策を推進した。","1","同時進行","1","同時進行"
"6_news_KAHOKU_303;K201401010W5XP4XX00001","東北に拠点を置きながら、全国的に活躍する３人の文化人、アーティストに、故郷への熱い思いや、その魅力を語ってもらった。","0","逆接・譲歩","0","逆接・譲歩"
"1029_aozora_Harada-1960","妹が慣れた手つきでベッドのふとんや枕を高く飛ばしながら寝具の用意を整えるのが見えた。","1","同時進行","1","同時進行"
"591_bible_ot;b.NUM.16.30","しかし、主が新しい事をされ、地が口を開いて、これらの人々と、それに属する者とを、ことごとくのみつくして、生きながら陰府に下らせられるならば、あなたがたはこれらの人々が、主を侮ったのであることを知らなければならない」。","0","逆接・譲歩","1","同時進行"
"694_aozora_Andersen-1967-2","それでも、お姫さまは、ほほえみを浮べながら、踊りつづけるのでした。","1","同時進行","1","同時進行"
"301_aozora_Doyle-1892","学がありながら運命の手に翻弄されてきた男、という印象を全体から感じる。","0","逆接・譲歩","0","逆接・譲歩"
"476_fiction_munashisanoshotai","1人で帰りながらそのことに気づいてしまった。","1","同時進行","1","同時進行"
"375_aozora_Miyazawa-1934","悦治がそれをくぐろうとしますと、嘉助が、「おらこったなものはずせだぞ。」と言いながら片っぽうのはじをぬいて下におろしましたのでみんなはそれをはね越えて中にはいりました。","1","同時進行","1","同時進行"
"117_aozora_Miyamoto-1925","五十銭で買ってもらった釣竿を持ち、小さいなつめ形の顔の上に途方もなく大きい海水帽をかぶり――その鍔をフワフワ風に煽らせながら、勇壮に釣に出かける。","1","同時進行","1","同時進行"
"15_essay_crossover28_Ihara2016","地球中心説では当然ながら惑星の横転周期という概念はありませんが、コペルニクスの理論では会合周期の観測によって太陽と地球の距離を1として、各惑星軌道半径が求められることになりました。","4","その他","0","逆接・譲歩"
"200_whitepaper_R1_gaiko_12","欧米で日本マンガやアニメ文化がまだ殆ど認識されていない当時、手塚先生はマンガの右開き形式や言葉の「壁」に触れながらも、アニメこそが「国際性に富んでいる素晴らしい親善大使」だと主張し、アニメで日本マンガの体質になじんだ人々は、マンガもきっと見るようになる、と考えていました。","0","逆接・譲歩","1","同時進行"
"188_aozora_Kobayashi-1929","「一寸云って置く」監督が土方の棒頭のように頑丈な身体で、片足を寝床の仕切りの上にかけて、楊子で口をモグモグさせながら、時々歯にはさまったものを、トットッと飛ばして、口を切った。","1","同時進行","1","同時進行"
"218_aozora_Hayashida-2015","「ええ、そうです」と微笑みながら答えた。","1","同時進行","1","同時進行"
"34_aozora_Togawa-1937-3","和尚は御経を読みながら、そこにただ独り坐っていた。","1","同時進行","1","同時進行"
"166_bible_nt;b.JOH.3.10","「あなたはイスラエルの教師でありながら、これぐらいのことがわからないのか。","0","逆接・譲歩","0","逆接・譲歩"
"14_aozora_Miyazawa-1924","はじめの紳士は、すこし顔いろを悪くして、じっと、もひとりの紳士の、顔つきを見ながら云いました。","1","同時進行","1","同時進行"
"1074_aozora_Harada-1960","妹は泣きながらはげしく手を振った。","1","同時進行","1","同時進行"
"3_fiction_mirai_e_no_okurimono","21世紀に発明されたAIが第5世代に入り、人は生まれながらにして脳にチップを埋められた。","4","その他","1","同時進行"
"22_aozora_Kunieda-1925","おりから一人の老人がひしと胸の辺を抱きながら追われたように走って来た。","1","同時進行","1","同時進行"
"20_aozora_Hori-1969","それがどんなものか分らないながら、どうやらそれらしいと感ぜられるものがある。","0","逆接・譲歩","0","逆接・譲歩"
"501_aozora_Hori-1969","私は思わず生き生きした微笑をしながら黙っていた。","1","同時進行","1","同時進行"
"315_whitepaper_R1_gaiko_9","このような状況の下、核軍縮を進めていくためには、核兵器国の協力を得ながら現実的かつ実践的な取組を粘り強く進めていく必要がある。","1","同時進行","1","同時進行"
"124_aozora_Akutagawa-1922","彼は左に海を感じながら、急な坂路（さかみち）を駈（か）け登った。","1","同時進行","1","同時進行"
"66_whitepaper_H20_kokuminseikatsu2","幸福度に関する分析によって、統計学的に、ストレスがない人はある人より幸福であるということが分かったが、現代社会はストレス社会とも言われるように、多くの人がストレスにさらされながら生活を送っている。","1","同時進行","1","同時進行"
"319_fiction_sakurasakuanobashode","朝御飯が終わり、かたづけを手伝いながら修一は言った。","1","同時進行","1","同時進行"
"256_aozora_Miyazawa-1934","するとかよは立って来て、「兄な、兄なの木ペンはきのう小屋でなくしてしまったけなあ。よこせったら。」と言いながら一生けん命とり返そうとしましたが、どうしてももう佐太郎は机にくっついた大きな蟹の化石みたいになっているので、とうとうかよは立ったまま口を大きくまげて泣きだしそうになりました。","1","同時進行","1","同時進行"
"236_aozora_Akutagawa-1921","遠藤は殆ど気違いのように、妙子の名前を呼びかけながら、全身の力を肩に集めて、何度も入口の戸へぶつかりました。","1","同時進行","1","同時進行"
"21_essay_tosanikki_20180804","その間、何度も地球に接近し、ニアミスを繰り返しながら、長い旅路の果てについに地球（南極大陸）にたどり着いたのです。","0","逆接・譲歩","1","同時進行"
"70_aozora_Dazai-1-1940","家の西北の隅に、異様に醜怪の、不浄のものが、とぐろを巻いてひそんで在るようで、机に向って仕事をしていながらも、どうも、潔白の精進が、できないような不安な、うしろ髪ひかれる思いで、やりきれないのである。","0","逆接・譲歩","0","逆接・譲歩"
"237_fiction_mirai_e_no_okurimono","――途中、走りながらモバイルフォンを素早く鞄から取り出した。","1","同時進行","1","同時進行"
"426_aozora_Oda-1976-3","眼の中のコロコロとした痛みを我慢しながら、一方で女の手の触感をたのしむなんて、思えばわれながら噴き出したくなるようなものだったが、もともと気のすすまぬ旅行だ、それぐらいはしてもいいだろうと、春隆は思ったのである。","1","同時進行","1","同時進行"
"352_aozora_Sakaguchi-1947","リヤカーは路地の角々にぶつかりながら立去った。","1","同時進行","1","同時進行"
"45_aozora_Perrault-1950","いけないというものは、とかく見たいのが、人間のくせですから、そのうちいよいよ、がまんがしきれなくなってくると、この奥（おく）がたは、もうお客にたいして、失礼（しつれい）のなんのということを、おもってはいられなくなって、ひとりそっと裏（うら）ばしごをおりて、二ども三ども、首の骨がおれたかとおもうほど、はげしく、柱や梁（はり）にぶつかりながら、むちゅうでかけ出して行きました。","1","同時進行","1","同時進行"
"88_aozora_Joyce-1914","というのもいつものことながら一週間分のタバコのしみがついて黒くなった赤いハンカチで落ちた粒を払いのけようとしてもまったく効果がなかったからだ。","4","その他","4","その他"
"102_aozora_Hori-1969","そう云われながら、絶えずその暗くなった空を気になさっていた。","0","逆接・譲歩","0","逆接・譲歩"
"1225_aozora_Harada-1960","三人は座席にゆっくりともたれながら、未来の見込みをあれこれと相談し合った。","1","同時進行","1","同時進行"
"576_aozora_Hori-1969","――それよりか、お前の顔を見てから、こちらが自分をすっかり無くして、なんの心用意もせずにお前に立ち向いながら、その場で自分に浮んでくることをそのまま云った方がお前の心を動かすことが云えるのではないかと考えた。","1","同時進行","1","同時進行"
"142_aozora_Yamakawa-1962-1","彼は、胸に湧きあがるものを、けんめいに冷静におさえつけながら思った。","1","同時進行","1","同時進行"
"499_bible_ot;b.NUM.14.23","わたしの栄光と、わたしがエジプトと荒野で行ったしるしを見ながら、このように十度もわたしを試みて、わたしの声に聞きしたがわなかった人々はひとりも、わたしがかつて彼らの先祖たちに与えると誓った地を見ないであろう。","0","逆接・譲歩","1","同時進行"
"130_aozora_Oda-1976-2","女と関係しながら、恋だけはもっと素晴しい女とするんだと夢を抱いて来たのだ。","0","逆接・譲歩","1","同時進行"
"386_aozora_Hori-1969","私の好んで行った山よりの落葉松林は、ときおり林の切れ目から薄赤い穂を出した芒の向うに浅間の鮮やかな山肌をのぞかせながら、何処までも真直に続いていた。","1","同時進行","1","同時進行"
"204_aozora_Doyle-1905","レストレイドは、この注目すべき解説を聞きながら、2、3度、眉を釣りあげたが、ここでようやく口を開いた。","0","逆接・譲歩","1","同時進行"
"568_aozora_Umezaki-1966","私は不味い莨をふかしながら、煙が空気の中に消えて行くのをじっと見ていた。","1","同時進行","1","同時進行"
"652_whitepaper_shohi4_2018","また、消費者庁において推進会議の意見を聴きながら、関係府省庁と連携しつつ、高校生向け消費者教育教材「社会への扉」を2017年３月までに作成し、４月以降に配布を開始しました。","1","同時進行","1","同時進行"
"16_aozora_Chiri-1955-7","北見の美幌では、この“きのこ”を見つけると、熊を取った時のように、男は「フォー、フォー」と高らかにときの声をあげながらその廻りを踏舞し、女は「オノンノ、オノンノ」と歌いながら踊ったということであります。","1","同時進行","1","同時進行"
